reg_no,name,email,password,department,year,semester
112720245035,SANJAY R,it2.sanjay035@spcet.edu.in,Spcet@2028,IT,2,4
112720245036,PRIYA K,it2.priya036@spcet.edu.in,Spcet@2028,IT,2,4
112720245037,ARJUN M,it2.arjun037@spcet.edu.in,Spcet@2028,IT,2,4
112720245038,NITHYA S,it2.nithya038@spcet.edu.in,Spcet@2028,IT,2,4
112720245039,KARTHIK V,it2.karthik039@spcet.edu.in,Spcet@2028,IT,2,4
112720245040,DEEPA T,it2.deepa040@spcet.edu.in,Spcet@2028,IT,2,3
112720245041,RAHUL P,it2.rahul041@spcet.edu.in,Spcet@2028,IT,2,3
112720245042,MEENA L,it2.meena042@spcet.edu.in,Spcet@2028,IT,2,3
112720245043,VIGNESH A,it2.vignesh043@spcet.edu.in,Spcet@2028,IT,2,3
112720245044,ANANYA D,it2.ananya044@spcet.edu.in,Spcet@2028,IT,2,3
